"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","zipcode","yr_old","renovated_status"
"33",322.5,4,3,2060,6659,1,0,0,3,7,1280,780,98058,40,0
"34",696,3,2,2300,3060,2,0,0,3,8,1510,790,98115,91,1
"35",550,4,1,1660,34848,1,0,0,1,5,930,730,98052,88,0
"36",640,4,2,2360,6000,2,0,0,4,8,2360,0,98107,NA,0
"37",240,4,1,1220,8075,1,0,0,2,7,890,330,98001,52,0
"38",605,4,2,2620,7553,2,0,0,3,NA,2620,0,98056,25,0
"39",625,4,2,2570,5520,2,0,0,3,9,2570,0,98074,21,0
"40",775,4,2,4220,24186,1,0,0,3,8,2600,1620,98166,37,0
"41",861.99,5,3,3595,5639,2,0,0,3,9,3595,0,98053,7,0
"42",685,3,1,1570,2280,2,NA,0,3,7,1570,0,98119,99,0
"43",309,3,1,1280,9656,1,0,0,4,6,920,360,98058,62,0
"44",488,3,2,3160,13603,2,0,0,3,8,3160,0,98019,18,0
"45",210.49,3,1,990,8528,1,0,0,3,6,990,0,98023,55,0
"46",785,4,2,2290,13416,2,NA,0,4,9,2290,0,98007,40,0
"47",450,3,2,1250,5963,1,0,0,4,7,1250,0,98115,68,0
"48",1350,3,2,2753,65005,1,1,NA,5,9,2165,588,98070,68,0
"49",228,3,1,1190,9199,1,0,0,3,7,1190,0,98148,66,0
"50",345,5,2,3150,9134,1,0,0,4,8,1640,1510,98056,55,0
"51",600,3,2,1410,4080,1,0,0,4,7,1000,410,98117,71,0
"52",585,2,2,1980,8550,1,0,0,3,7,990,990,NA,40,0
"53",920,5,2,2730,6000,2,0,0,3,8,2130,600,98105,94,0
"54",885,4,2,2830,5000,2,0,0,3,9,2830,0,98105,26,0
"55",292.5,4,2,2250,4495,2,0,0,3,7,2250,0,98042,13,0
"56",301,3,2,2420,4750,2,0,0,3,8,2420,0,98042,18,0
"57",951,5,3,3250,14342,2,0,4,4,8,3250,0,98008,53,0
"58",430,4,3,1850,9976,2,0,0,3,8,1850,0,98059,30,0
"59",650,3,2,2150,21235,1,0,3,4,8,1590,560,98166,62,0
"60",289,3,2,1260,8400,1,0,0,3,7,1260,0,98148,67,0
"61",505,3,2,2519,8690,2,0,0,5,8,2519,0,NA,48,0
"62",549,3,2,1540,1044,3,0,0,3,8,1540,0,98115,7,0
"63",425,3,2,1660,6000,1,0,0,3,7,1110,550,98122,42,0
"64",317.625,3,3,2770,3809,2,0,0,5,7,1770,1000,98144,96,0
"65",975,4,2,2720,11049,2,0,0,3,10,2720,0,98004,32,0
"66",287,4,2,NA,4648,2,0,0,3,7,2240,0,98001,16,0
"67",204,3,1,1000,12070,1,0,0,4,7,1000,0,98042,53,0
"68",1325,5,2,3200,20158,1,NA,0,3,8,1600,1600,98004,56,0
"69",1040,5,3,NA,50094,1,0,0,4,11,3070,1700,98005,48,0
"70",325,3,2,1260,5612,1,0,0,4,7,1260,0,98034,49,0
"71",571,4,2,2750,7807,2,0,0,5,7,2250,500,98125,105,0
"72",360,4,2,2380,5000,2,0,0,3,8,2380,0,98038,16,0
"73",349,3,2,1790,50529,1,0,0,5,7,1090,700,98042,56,0
"74",832.5,4,4,3430,35102,2,0,0,4,10,2390,1040,98075,35,0
"75",380,4,2,1760,7300,1,0,0,3,7,880,NA,98008,65,0
"76",480,3,1,1040,5060,1,0,0,3,7,1040,0,98116,80,0
"77",410,3,1,1410,5060,1,0,0,4,7,910,500,98133,65,0
"78",720,4,2,3450,39683,2,0,NA,3,10,3450,0,98010,19,0
"79",390,3,2,2350,5100,2,0,0,3,8,2350,0,98038,18,0
"80",360,4,2,1900,5889,2,0,0,3,7,1900,0,98038,29,0
"81",355,2,1,2020,6720,1,0,0,3,7,1010,1010,98118,73,0
"82",356,3,2,1680,8712,1,0,0,3,8,1680,0,98059,57,0
"83",315,3,1,960,6634,1,0,NA,3,6,960,0,98125,69,0
"84",940,3,2,2140,3600,2,0,0,3,9,1900,240,98119,96,0
"85",305,5,2,2660,8400,2,0,0,5,7,2660,0,98092,NA,0
"86",461,3,3,2770,6278,2,0,0,3,9,1980,790,98056,15,0
"87",215,2,2,1610,2040,2,NA,0,4,7,1610,0,98056,42,0
"88",335,2,2,1030,1066,2,0,0,NA,7,765,265,98136,15,0
"89",243.5,4,2,1980,7403,2,0,0,3,7,1980,0,98023,33,0
"90",1099.88,5,3,3520,6353,2,0,0,4,10,3520,0,98199,20,0
"91",153,3,1,1200,10500,1,0,0,3,7,1200,0,98023,59,0
"92",430,3,2,1580,5000,1,0,0,3,8,1290,290,98117,NA,0
"93",700,3,2,1580,5000,1,0,0,3,8,1290,290,98117,82,0
"94",905,4,2,3300,10250,1,0,0,3,7,2390,910,98040,75,NA
"95",247.5,3,2,1960,15681,1,0,0,3,7,1960,0,98032,54,0
"96",199,4,2,1160,6400,1,0,0,4,7,1160,0,98023,46,0
"97",314,3,2,1810,41800,1,0,0,5,7,1210,600,98038,41,0
"98",437.5,3,2,2320,NA,2,0,2,3,9,2320,0,98045,29,0
"99",850.83,3,2,2070,13241,2,0,0,5,9,1270,800,98102,111,0
"100",555,3,2,1980,3478,2,0,0,4,7,1440,540,98117,92,0
"101",699.95,3,2,2190,107593,2,0,0,4,8,2190,0,98077,38,0
"102",1088,3,2,NA,8113,2,0,0,3,8,2920,0,98004,71,1
"103",290,3,1,1210,33919,1,0,0,3,7,1210,0,98058,67,0
"104",375,3,2,2340,10005,1,0,0,4,8,NA,880,98058,43,0
"105",460,3,1,1670,4005,2,0,0,4,7,1170,500,98117,82,0
"106",188.5,2,2,1240,2493,1,0,0,4,8,1240,0,NA,36,0
"107",680,4,2,3140,28037,2,0,0,4,10,3140,0,98077,30,0
"108",470,5,2,2030,12342,2,0,0,NA,7,2030,0,98052,79,0
"109",597.75,4,2,2310,9624,2,0,0,3,8,2310,0,98027,37,0
"110",570,3,2,1260,3328,1,0,0,5,6,700,560,98103,116,0
"111",272.5,3,2,1540,12600,1,0,0,4,7,1160,380,98038,41,0
"112",329.95,3,2,2080,5969,1,0,2,3,7,1080,1000,98108,50,0
"113",480,4,2,3230,16171,2,0,3,3,9,2520,710,98001,20,0
"114",740.5,3,4,4380,6350,2,0,0,3,8,2780,1600,98117,121,1
"115",518.5,3,4,1590,1102,3,0,0,3,8,1590,0,98103,11,0
"116",205.425,2,1,880,6780,1,0,0,4,6,880,0,98178,76,0
"117",171.8,4,2,1570,9600,1,0,0,3,6,1570,0,98168,71,0
"118",535,4,1,1610,2982,NA,0,0,4,7,1610,0,98144,96,0
"119",660,3,2,2400,6474,1,0,2,3,8,1560,840,98177,57,0
"120",391.5,3,2,1450,9132,1,0,0,3,7,1450,0,98034,34,0
"121",395,2,1,770,6000,1,0,0,3,6,770,0,98117,68,0
"122",445,4,2,2100,4400,2,0,0,5,7,1720,380,98118,NA,0
"123",770,3,2,2910,10204,2,0,0,3,9,NA,0,98052,31,0
"124",1450,4,3,2750,17789,2,0,0,3,8,1980,770,98004,107,1
"125",445,3,2,2100,8201,1,0,2,3,8,1620,480,NA,54,0
"126",260,4,2,2160,8811,1,0,0,3,8,1360,NA,98023,43,0
"127",822.5,5,4,2320,4960,2,0,0,5,7,1720,600,98103,95,0
"128",430,4,2,2070,4310,2,0,0,3,7,2070,0,98065,17,0
"129",212,3,2,1060,7875,1,0,0,4,7,1060,0,98092,35,0
"130",660.5,4,2,2010,9603,1,0,0,3,8,1440,570,98027,35,0
"131",784,3,4,3950,111078,2,0,0,3,9,NA,1490,98052,32,0
"132",453.246,3,2,2010,2287,2,0,0,3,8,1390,620,98029,7,0
"133",675,4,4,2140,2278,3,0,0,3,9,2140,0,98107,16,0
"134",199,3,2,1320,17390,1,0,0,4,7,1320,0,98003,65,0
"135",220,4,2,2020,7840,1,0,0,3,7,1010,1010,98003,53,0
"136",452,4,2,2590,10002,1,NA,0,4,8,1340,1250,98028,53,0
"137",382.5,2,1,1190,4440,1,0,0,3,6,1190,0,98125,40,0
"138",519.95,3,2,1170,1249,3,0,0,3,8,1170,0,98107,7,0
"139",665,2,1,1110,3200,1,0,0,3,NA,1110,0,98119,96,0
"140",527.7,5,2,2820,9375,1,0,0,4,8,1550,1270,98006,53,0
"141",205,3,1,1610,8579,1,0,0,4,7,1010,600,98058,59,0
"142",420,3,1,1060,8097,1,0,0,4,7,940,120,98133,98,0
"143",500,4,2,2030,8517,1,0,0,4,8,1380,650,98006,60,0
"144",921.5,4,2,3670,315374,2,0,0,NA,9,3670,0,98077,27,0
"145",890,4,1,2550,4000,NA,0,0,3,8,2370,180,98109,116,0
"146",430,2,2,2420,60984,2,0,0,3,7,2420,0,98027,14,0
"147",258,5,2,2260,12500,1,0,0,4,8,1130,1130,98032,61,0
"148",511,3,1,1430,NA,1,0,0,3,7,980,450,98103,74,0
"149",532.17,3,2,1360,3090,2,NA,0,3,8,1360,0,98103,31,0
"150",560,3,1,1110,5000,2,0,0,3,7,1110,0,98107,74,0
"151",282.95,3,1,1250,8200,1,0,0,4,7,1250,0,98003,67,0
"152",2250,4,3,5180,19850,2,0,NA,3,12,3540,1640,98006,15,0
"153",350,1,1,700,5100,1,0,0,3,7,700,0,98115,79,0
"154",215,3,1,1180,7669,1,0,0,4,7,1180,0,98058,54,0
"155",650,5,4,3960,25245,2,0,0,3,9,NA,1460,98056,25,0
"156",320,4,3,2640,7500,1,0,NA,3,8,1620,1020,98023,54,0
"157",247,3,2,1270,7198,2,0,0,3,7,1270,0,98022,105,1
"158",320,4,2,1760,11180,1,0,0,4,8,1760,0,98059,53,0
"159",255,5,2,2060,8632,1,0,0,3,7,1030,1030,98146,59,0
"160",438,3,2,1780,9660,1,0,0,3,7,1780,0,98034,59,0
"161",900,3,2,3400,16603,2,0,0,3,10,3400,0,98075,21,0
"162",441,3,3,1910,7280,1,0,0,3,NA,1160,750,98034,42,0
"163",420,3,2,2020,38332,1,0,0,4,7,1010,1010,98027,46,0
"164",370,3,2,1580,7000,1,0,0,3,7,1180,400,98034,45,0
"165",269.95,2,2,1340,7250,1,0,0,5,5,700,640,98198,72,0
"166",807.1,4,2,2680,4499,2,0,0,3,9,2680,0,98006,22,0
"167",653,3,2,NA,9750,1,0,0,4,8,1610,1070,98034,42,0
"168",371.5,3,2,1370,8336,1,0,0,5,7,1370,0,98133,57,0
"169",284,3,2,1560,21000,1,0,0,3,7,1560,0,98166,67,0
"170",272,3,2,2160,7140,1,0,0,4,7,1670,490,98023,43,0
"171",313,3,2,1340,7912,2,0,0,3,7,1340,0,98133,66,0
"172",917.5,4,2,3880,35003,2,0,0,3,10,2570,1310,98033,37,0
"173",673,4,2,2590,8190,2,0,0,4,8,2590,0,98006,41,0
"174",425,3,2,1120,1100,2,0,0,3,8,820,300,98122,13,0
"175",399.95,5,3,1970,5400,1,0,0,3,7,1320,650,98144,35,0
"176",385,3,1,1220,4800,1,0,0,3,6,1220,0,98122,120,0
"177",269.95,3,2,1950,7560,1,0,2,4,7,1320,630,98022,46,0
"178",330,2,1,1350,8220,1,0,0,3,7,1060,290,98177,72,0
"179",260,3,2,1670,5797,2,0,0,3,7,NA,0,98030,33,0
"180",470,4,3,2380,5125,2,0,0,4,7,1680,700,98126,NA,0
"181",589,4,3,NA,9600,2,0,0,5,7,2440,0,98034,60,0
"182",163.5,2,2,1050,NA,2,0,0,3,7,1050,0,98038,25,0
"183",835,4,3,3130,13412,2,0,0,3,NA,2140,990,98052,28,0
"184",1095,NA,3,4090,12850,1,0,2,4,10,2090,2000,98033,35,0
"185",269,4,2,1490,10000,1,0,0,4,8,1100,390,98023,52,0
"186",560,3,2,1900,8744,2,0,0,3,8,1900,0,98074,34,0
"187",615,4,1,1330,2400,2,0,0,4,6,1330,0,98103,NA,0
"188",585.188,3,2,2230,10026,1,0,0,3,8,1430,800,98052,46,0
"189",305,3,2,1650,9480,1,0,0,3,7,1220,430,98034,44,0
"190",166.95,3,1,1190,8820,1,0,0,3,6,1190,0,98058,62,0
"191",799,3,2,2140,9897,1,0,0,4,8,2140,0,98040,62,0
"192",400,3,2,2180,7508,1,0,0,4,7,1420,760,98133,59,0
"193",230,3,1,1060,10228,1,0,0,3,7,1060,0,98155,73,0
"194",256.883,3,2,1690,5025,2,0,0,3,8,1690,0,98023,18,0
"195",423,4,2,1970,6480,2,0,0,5,7,1130,840,98108,NA,0
"196",465,3,2,2150,4084,2,0,0,3,8,2150,0,98126,14,0
"197",440,3,2,1910,66211,2,0,0,3,7,1910,0,98024,24,0
"198",385,3,2,1350,155073,1,0,0,4,7,1350,0,98038,52,0
"199",210,3,1,860,11725,1,0,0,4,6,860,0,98056,NA,0
"200",297,3,2,1940,14952,2,0,0,3,8,1940,0,98042,27,0
"201",470,3,1,1010,5000,1,0,0,3,7,1010,0,98107,NA,0
"202",226.5,3,2,1300,7370,1,0,0,NA,7,900,400,98023,45,0
"203",274.25,3,1,910,8450,1,0,0,4,6,910,0,98059,59,0
"204",840,4,2,2480,11010,1,0,0,4,9,1630,850,98040,55,0
"205",677.9,3,2,2440,4587,2,0,0,3,8,2440,0,98052,11,0
"206",425,3,1,1010,5864,1,0,0,3,7,1010,0,98116,106,0
"207",180.25,2,1,900,9600,1,0,0,3,6,900,0,98166,80,0
"208",464,NA,3,2300,3404,2,0,0,3,7,1600,700,98133,101,1
"209",320,4,2,1550,7579,2,0,0,3,8,1550,0,98038,28,0
"210",625.504,3,2,1270,1566,2,0,0,3,8,1060,210,98105,7,0
"211",592.5,4,2,2240,12032,1,0,0,3,9,2240,0,98074,38,0
"212",465,3,2,2714,17936,2,0,0,3,9,2714,0,98001,16,0
"213",477,4,3,1720,6270,2,0,0,3,8,1720,0,98118,43,0
"214",280,2,1,850,16400,1,0,0,3,6,850,0,98168,98,0
"215",1505,5,3,3300,33474,1,0,3,3,9,1870,1430,98040,64,1
"216",445.838,3,2,2250,5692,2,0,0,3,8,2250,0,98146,21,0
"217",1072,2,2,3900,14864,1,0,3,3,8,1950,1950,98144,74,0
"218",467,2,2,1320,10800,1,0,0,4,8,1320,0,98177,74,0
"219",686,4,2,2760,6440,2,0,0,3,10,2760,0,98075,22,0
"220",279.95,3,2,1750,9750,1,0,0,3,7,1350,400,98198,60,0
"221",527,4,2,2330,19436,NA,0,0,3,8,2330,0,98011,34,0
"222",325,3,2,2220,16020,1,0,0,4,8,1780,440,98030,55,0
"223",328,3,2,2020,8379,2,0,0,3,7,2020,0,98038,27,0
"224",390,3,2,1250,7500,1,0,0,5,7,1250,0,98146,79,0
"225",479.95,2,2,1510,6516,1,0,0,3,8,1510,0,98053,16,0
"226",264.95,4,2,1720,9753,1,0,0,4,7,1120,600,98023,43,0
"227",235,3,1,1430,15246,1,0,0,4,7,980,450,98031,60,0
"228",516.5,3,2,1480,4729,2,0,0,3,7,1480,0,98053,17,0
"229",655,2,2,1450,15798,2,1,4,3,7,1230,220,98166,106,1
"230",500,4,3,2280,15347,1,0,0,5,7,2280,0,98059,61,0
"231",315,6,NA,2940,7350,1,0,0,3,8,1780,1160,98023,43,0
"232",213,2,1,1000,10200,1,0,0,3,6,1000,0,98024,60,0
"233",475,3,2,2480,5280,2,0,0,5,7,NA,860,98108,74,0
"234",1025,5,4,3760,28040,2,0,0,3,10,3760,0,98033,38,0
"235",416,3,2,2220,94300,1,0,0,5,7,1640,580,98010,45,0
"236",410,4,1,1970,NA,2,0,0,3,7,1670,300,98122,117,1
"237",800,3,4,3830,221284,2,0,0,3,10,3530,300,98077,28,0
"238",472,6,2,4410,14034,NA,0,2,4,9,2350,2060,98003,56,0
"239",225,3,2,1430,8505,1,0,0,4,7,1430,0,98003,53,0
"240",210,2,1,830,6000,1,0,0,3,6,830,0,98126,81,0
"241",455,2,1,1430,5000,2,0,0,2,7,1430,0,98115,NA,0
"242",225,3,1,1300,8316,1,0,0,4,6,1300,0,98002,67,0
"243",480,2,1,1030,3060,1,0,2,4,7,790,240,98103,103,0
"244",363,3,2,2740,11872,2,0,0,3,9,2740,0,98023,31,0
"245",2400,4,2,3650,8354,1,1,4,3,9,1830,NA,98074,21,0
"246",181,2,2,720,5120,1,0,0,3,6,720,0,98106,67,0
"247",250,4,2,2010,7312,1,0,0,4,7,2010,0,98002,45,0
"248",481,3,2,1560,3000,1,0,NA,4,6,770,790,98103,103,0
"249",260,3,2,1810,7209,1,0,0,4,7,1240,570,98032,43,0
"250",455,4,2,3360,7685,NA,0,0,3,9,3360,0,98058,20,0
"251",415,3,NA,1510,36224,2,0,0,3,8,1510,0,98045,30,0
"252",349.5,3,1,1400,3538,1,0,0,3,7,800,600,98118,68,0
"253",245,3,2,1730,7442,2,0,0,3,7,1730,0,98030,34,0
"254",592.5,2,2,1420,9191,2,0,2,5,7,1420,0,98115,93,0
"255",385,4,2,2360,7620,1,0,0,4,7,1180,1180,98106,66,0
"256",315,3,2,1580,11455,1,0,0,4,7,1200,380,98059,47,0
"257",255,3,1,1230,10170,1,0,0,3,7,1230,0,98045,42,0
"258",693,4,2,2460,4425,2,0,0,3,8,2460,0,98052,15,0
"259",780,3,NA,1660,4400,2,0,0,3,8,1460,200,98112,110,0
"260",237,3,2,1270,8470,1,0,0,4,7,1270,0,NA,61,0
"261",525,3,2,2100,40510,2,0,0,3,10,1320,780,98074,42,0
"262",425,2,1,770,5040,1,0,0,3,5,770,0,98144,91,0
"263",369.9,1,1,760,10079,1,1,4,5,5,760,0,98070,85,0
"264",290,4,2,1700,7280,2,0,0,4,7,1700,0,98031,33,0
"265",285,3,1,1120,10701,1,0,0,3,7,1120,0,98106,67,0
"266",415,2,1,1070,4500,1,0,0,3,7,1070,0,98115,84,0
"267",272.5,3,2,2070,9900,1,0,0,3,8,1420,650,98023,42,0
"268",2900,4,3,5050,20100,2,0,2,3,11,NA,300,98004,39,1
"269",1365,4,5,5310,57346,2,0,0,4,11,5310,0,98077,32,0
"270",436,2,1,1040,7538,1,0,0,4,7,1040,0,98133,82,0
"271",210,3,1,1700,11390,1,0,0,4,7,1700,0,98003,54,0
"272",236,3,NA,1300,5898,1,0,0,3,7,1300,0,98178,60,0
"273",331,3,2,1080,1306,1,0,0,3,7,580,500,98199,67,1
"274",365,3,2,2653,4510,2,0,0,3,8,2653,0,98031,15,0
"275",450,3,2,2290,16258,1,0,0,5,8,2290,0,98058,61,0
"276",770,NA,3,3820,26300,2,0,0,3,9,2850,970,98028,7,0
"277",455,4,2,2210,49375,1,0,NA,3,8,2210,0,98038,24,0
"278",405,3,2,2390,6000,1,0,0,3,6,1240,1150,98118,NA,0
"279",304.9,4,2,2600,11325,1,0,0,4,NA,1610,990,98031,52,0
"280",170,2,1,860,5265,1,0,0,3,6,860,0,98178,90,0
"281",2050,5,3,3830,8480,2,0,1,5,9,NA,1200,98122,116,1
"282",780,4,2,3500,7048,2,0,0,3,9,3500,0,98053,16,0
"283",330,3,3,2420,13959,1,0,0,4,8,1740,680,98028,33,0
"284",370,4,2,2720,8666,2,0,0,3,9,2720,0,98030,29,0
"285",467,5,2,2500,13500,1,0,0,3,7,1850,650,98072,42,0
"286",405,3,2,1670,6720,1,0,0,3,7,1140,530,98034,41,0
"287",675,5,2,2900,10300,1,0,0,3,8,1450,1450,98006,36,0
"288",500,2,1,1640,14100,1,0,0,4,7,1140,500,98006,67,NA
"289",389.999,4,2,1890,15770,2,0,NA,4,7,1890,0,98166,53,0
"290",630,4,2,2950,9025,1,0,2,4,8,1780,1170,98034,46,0
"291",360,4,2,2160,9528,2,0,0,3,9,2160,0,98001,29,0
"292",580,4,3,3280,11060,2,0,0,3,8,2270,1010,98056,35,0
"293",550,3,2,1970,4166,2,0,3,5,8,1270,700,98126,NA,0
"294",879,4,2,3360,22111,2,0,0,3,10,3360,0,98075,27,0
"295",265,3,2,1320,8959,1,0,0,3,7,1320,0,98042,28,0
"296",446.5,3,2,2650,7286,2,0,0,3,8,2650,0,98059,31,0
"297",404,3,2,2030,8880,1,0,0,3,7,1330,700,98108,58,0
"298",267.5,3,2,1590,11914,1,0,2,3,7,1090,500,98188,64,0
"299",3075,4,5,4550,18641,1,1,4,3,10,NA,1950,98074,19,0
"300",335,3,2,2440,7632,2,0,0,3,8,2440,0,98003,23,0
"301",576,3,2,1940,9000,1,0,0,4,7,970,970,98117,73,0
"302",208.633,3,2,2040,3810,2,0,0,3,8,2040,0,98038,15,0
"303",315,3,2,2200,8750,1,0,0,4,7,1120,1080,98166,57,0
"304",725,3,2,1920,3300,1,0,0,4,8,960,960,98112,108,0
"305",550,4,3,1800,7750,1,0,0,4,8,1400,400,98177,56,0
"306",610.75,NA,2,2180,7297,2,0,0,3,8,2180,0,98074,37,0
"307",550.7,2,1,1010,5000,2,0,0,4,6,1010,0,98105,113,0
"308",665,4,3,3320,10574,2,0,0,5,8,2220,1100,98056,61,0
"309",834,4,2,2370,4000,2,0,2,5,8,1980,390,98144,93,0
"310",201,5,2,1660,78408,2,0,0,3,6,1660,0,NA,106,0
"311",2384,5,2,3650,9050,NA,0,4,5,10,3370,280,98119,100,0
"312",1384,4,3,4290,12103,1,0,3,3,11,2690,1600,98006,24,0
"313",1400,4,3,4290,12103,1,0,3,3,11,2690,1600,98006,24,0
"314",305,4,2,1950,7700,1,0,0,3,8,1350,600,98058,42,0
"315",487,3,2,2590,14052,1,0,0,5,8,1720,870,98133,73,0
"316",390,3,2,1930,64904,1,0,0,4,8,1930,0,98042,33,0
"317",548,2,1,1470,3864,1,0,0,4,7,1170,NA,98103,105,0
"318",268.75,4,1,800,8775,1,0,0,3,6,800,0,98166,78,0
"319",819.9,5,3,3150,7119,2,0,0,3,9,3150,0,98052,8,0
"320",520,3,2,2030,16200,2,0,0,3,8,2030,0,98027,37,0
"321",230,3,2,1450,11204,1,0,0,3,7,1450,0,98001,18,0
"322",240,3,2,1510,10248,1,0,0,3,7,1510,NA,98023,52,0
"323",232,2,1,1240,12092,1,0,0,3,6,960,280,98146,99,1
"324",240.5,2,1,1240,12092,1,0,0,3,6,960,280,98146,99,1
"325",274.975,NA,2,3030,45004,2,0,0,3,9,3030,0,98077,34,0
"326",740,4,2,2050,4400,2,0,0,4,9,2050,0,98102,99,0
"327",186.375,3,1,1000,7636,1,0,0,2,7,1000,0,98166,69,NA
"328",790,3,2,2370,10289,1,0,0,4,9,1590,780,98005,44,0
"329",880,4,4,2800,6750,2,0,0,3,9,1890,910,98105,70,1
"330",279,6,2,2240,11180,2,0,0,4,7,2240,0,98198,66,0
"331",295,3,2,1810,10530,1,0,2,3,8,1810,0,98022,NA,0
"332",640,2,1,1070,5000,1,0,0,3,7,1070,0,98103,97,0
"333",940,4,2,2490,9525,2,0,0,5,9,2490,0,98040,53,0
"334",260,4,2,1960,5238,2,0,0,3,7,1960,0,98038,18,0
"335",559.9,3,3,2930,5569,1,0,0,3,9,1860,1070,98072,17,0
"336",791.5,4,2,1510,3500,2,NA,0,5,7,1510,0,98103,110,0
"337",265,3,2,1420,8250,1,0,0,3,7,1420,0,98133,67,0
"338",245,3,2,1740,11547,1,0,0,3,7,1740,0,98178,67,0
"339",485,4,2,2560,43995,2,0,0,4,7,2560,0,98052,59,0
"340",684,4,4,3040,8414,2,0,0,3,9,2420,620,98059,11,0
"341",425,3,2,2500,6840,1,0,0,3,8,1300,1200,98125,64,0
"342",309.6,4,2,1275,20000,1,0,0,4,6,1275,0,98070,30,0
"343",552.25,4,2,2580,5823,2,0,NA,3,8,2580,0,98065,19,0
"344",165,4,1,1000,7134,1,0,0,3,6,1000,0,98178,78,0
"345",239.9,4,1,1000,NA,1,0,0,3,6,1000,0,98178,78,0
"346",320,2,1,1070,32633,1,0,0,4,6,1070,0,98059,91,0
"347",206.6,3,2,NA,13464,1,0,0,4,7,1390,0,98030,34,0
"348",387,4,2,2500,7690,1,0,0,3,7,1250,1250,98155,48,0
"349",299,1,1,560,12120,1,0,0,3,4,560,0,98014,54,0
"350",855,4,3,2270,10460,2,0,0,3,9,2270,0,98040,56,0
"351",315,3,1,1900,14400,1,0,0,4,7,1300,600,98166,67,0
"352",437.5,2,1,990,3120,1,0,2,5,7,790,200,98103,NA,0
"353",252,4,2,1550,19800,1,0,0,4,7,1050,500,98001,52,0
"354",375,4,2,2200,7475,1,0,0,5,7,1100,1100,98118,66,0
"355",300,4,2,1910,4862,2,0,0,3,7,1910,0,98038,16,0
"356",420,4,1,1750,9600,2,0,0,4,7,1750,0,98006,67,0
"357",900,3,1,1330,77972,1,0,0,3,7,1330,0,98033,93,1
"358",679.9,3,2,2440,5750,2,0,2,3,9,1980,460,98116,21,0
"359",463,3,2,1640,29970,2,0,0,3,7,1640,0,98053,29,0
"360",380,5,2,2760,11340,2,0,NA,4,9,2760,0,98059,43,0
"361",329.5,4,2,1820,7912,2,0,0,3,7,1820,0,98038,27,0
"362",604.95,3,2,2110,5608,1,0,0,3,8,1340,770,98033,8,0
"363",795,5,2,3040,9570,1,0,2,NA,8,1640,1400,98006,55,0
"364",465,3,2,1840,40438,2,0,0,3,7,1840,0,98045,27,0
"365",673,4,2,2990,10400,2,0,0,3,9,2990,0,98166,19,0
"366",810,4,2,3520,15420,2,0,0,3,10,3520,0,98074,30,0
"367",785,4,3,NA,69415,1,0,0,4,8,1910,530,98075,32,0
